Stimulus_Number,file,ActorID,Age,Sex,Race,Ethnicity,audio_path,clean_path,emotion,demo,feature_exists,split
11,1001_IEO_FEA_LO,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_FEA_LO.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_FEA_LO.wav,FEA,Male__Caucasian,True,train
12,1001_IEO_FEA_MD,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_FEA_MD.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_FEA_MD.wav,FEA,Male__Caucasian,True,train
13,1001_IEO_FEA_HI,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_FEA_HI.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_FEA_HI.wav,FEA,Male__Caucasian,True,train
14,1001_IEO_DIS_LO,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_DIS_LO.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_DIS_LO.wav,DIS,Male__Caucasian,True,train
15,1001_IEO_DIS_MD,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_DIS_MD.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_DIS_MD.wav,DIS,Male__Caucasian,True,train
16,1001_IEO_DIS_HI,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_DIS_HI.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_DIS_HI.wav,DIS,Male__Caucasian,True,train
17,1001_TIE_NEU_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TIE_NEU_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TIE_NEU_XX.wav,NEU,Male__Caucasian,True,train
18,1001_TIE_HAP_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TIE_HAP_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TIE_HAP_XX.wav,HAP,Male__Caucasian,True,train
19,1001_TIE_SAD_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TIE_SAD_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TIE_SAD_XX.wav,SAD,Male__Caucasian,True,train
20,1001_TIE_ANG_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TIE_ANG_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TIE_ANG_XX.wav,ANG,Male__Caucasian,True,train
21,1001_TIE_FEA_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TIE_FEA_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TIE_FEA_XX.wav,FEA,Male__Caucasian,True,train
22,1001_TIE_DIS_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TIE_DIS_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TIE_DIS_XX.wav,DIS,Male__Caucasian,True,train
23,1001_IOM_NEU_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IOM_NEU_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IOM_NEU_XX.wav,NEU,Male__Caucasian,True,train
24,1001_IOM_HAP_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IOM_HAP_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IOM_HAP_XX.wav,HAP,Male__Caucasian,True,train
25,1001_IOM_SAD_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IOM_SAD_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IOM_SAD_XX.wav,SAD,Male__Caucasian,True,train
26,1001_IOM_ANG_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IOM_ANG_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IOM_ANG_XX.wav,ANG,Male__Caucasian,True,train
27,1001_IOM_FEA_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IOM_FEA_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IOM_FEA_XX.wav,FEA,Male__Caucasian,True,train
28,1001_IOM_DIS_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IOM_DIS_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IOM_DIS_XX.wav,DIS,Male__Caucasian,True,train
29,1001_IWW_NEU_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IWW_NEU_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IWW_NEU_XX.wav,NEU,Male__Caucasian,True,train
30,1001_IWW_HAP_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IWW_HAP_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IWW_HAP_XX.wav,HAP,Male__Caucasian,True,train
31,1001_IWW_SAD_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IWW_SAD_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IWW_SAD_XX.wav,SAD,Male__Caucasian,True,train
32,1001_IWW_ANG_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IWW_ANG_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IWW_ANG_XX.wav,ANG,Male__Caucasian,True,train
33,1001_IWW_FEA_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IWW_FEA_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IWW_FEA_XX.wav,FEA,Male__Caucasian,True,train
34,1001_IWW_DIS_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IWW_DIS_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IWW_DIS_XX.wav,DIS,Male__Caucasian,True,train
35,1001_TAI_NEU_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TAI_NEU_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TAI_NEU_XX.wav,NEU,Male__Caucasian,True,train
36,1001_TAI_HAP_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TAI_HAP_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TAI_HAP_XX.wav,HAP,Male__Caucasian,True,train
37,1001_TAI_SAD_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TAI_SAD_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TAI_SAD_XX.wav,SAD,Male__Caucasian,True,train
38,1001_TAI_ANG_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TAI_ANG_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TAI_ANG_XX.wav,ANG,Male__Caucasian,True,train
39,1001_TAI_FEA_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TAI_FEA_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TAI_FEA_XX.wav,FEA,Male__Caucasian,True,train
40,1001_TAI_DIS_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TAI_DIS_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TAI_DIS_XX.wav,DIS,Male__Caucasian,True,train
41,1001_MTI_NEU_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_MTI_NEU_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_MTI_NEU_XX.wav,NEU,Male__Caucasian,True,train
42,1001_MTI_HAP_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_MTI_HAP_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_MTI_HAP_XX.wav,HAP,Male__Caucasian,True,train
43,1001_MTI_SAD_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_MTI_SAD_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_MTI_SAD_XX.wav,SAD,Male__Caucasian,True,train
44,1001_MTI_ANG_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_MTI_ANG_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_MTI_ANG_XX.wav,ANG,Male__Caucasian,True,train
45,1001_MTI_FEA_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_MTI_FEA_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_MTI_FEA_XX.wav,FEA,Male__Caucasian,True,train
46,1001_MTI_DIS_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_MTI_DIS_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_MTI_DIS_XX.wav,DIS,Male__Caucasian,True,train
47,1001_IWL_NEU_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IWL_NEU_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IWL_NEU_XX.wav,NEU,Male__Caucasian,True,train
48,1001_IWL_HAP_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IWL_HAP_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IWL_HAP_XX.wav,HAP,Male__Caucasian,True,train
49,1001_IWL_SAD_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IWL_SAD_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IWL_SAD_XX.wav,SAD,Male__Caucasian,True,train
50,1001_IWL_ANG_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IWL_ANG_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IWL_ANG_XX.wav,ANG,Male__Caucasian,True,train
51,1001_IWL_FEA_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IWL_FEA_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IWL_FEA_XX.wav,FEA,Male__Caucasian,True,train
52,1001_IWL_DIS_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IWL_DIS_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IWL_DIS_XX.wav,DIS,Male__Caucasian,True,train
53,1001_ITH_NEU_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_ITH_NEU_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_ITH_NEU_XX.wav,NEU,Male__Caucasian,True,train
54,1001_ITH_HAP_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_ITH_HAP_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_ITH_HAP_XX.wav,HAP,Male__Caucasian,True,train
55,1001_ITH_SAD_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_ITH_SAD_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_ITH_SAD_XX.wav,SAD,Male__Caucasian,True,train
56,1001_ITH_ANG_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_ITH_ANG_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_ITH_ANG_XX.wav,ANG,Male__Caucasian,True,train
57,1001_ITH_FEA_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_ITH_FEA_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_ITH_FEA_XX.wav,FEA,Male__Caucasian,True,train
58,1001_ITH_DIS_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_ITH_DIS_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_ITH_DIS_XX.wav,DIS,Male__Caucasian,True,train
59,1001_DFA_NEU_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_DFA_NEU_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_DFA_NEU_XX.wav,NEU,Male__Caucasian,True,train
60,1001_DFA_HAP_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_DFA_HAP_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_DFA_HAP_XX.wav,HAP,Male__Caucasian,True,train
61,1001_DFA_SAD_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_DFA_SAD_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_DFA_SAD_XX.wav,SAD,Male__Caucasian,True,train
62,1001_DFA_ANG_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_DFA_ANG_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_DFA_ANG_XX.wav,ANG,Male__Caucasian,True,train
63,1001_DFA_FEA_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_DFA_FEA_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_DFA_FEA_XX.wav,FEA,Male__Caucasian,True,train
64,1001_DFA_DIS_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_DFA_DIS_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_DFA_DIS_XX.wav,DIS,Male__Caucasian,True,train
65,1001_ITS_NEU_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_ITS_NEU_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_ITS_NEU_XX.wav,NEU,Male__Caucasian,True,train
66,1001_ITS_HAP_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_ITS_HAP_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_ITS_HAP_XX.wav,HAP,Male__Caucasian,True,train
67,1001_ITS_SAD_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_ITS_SAD_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_ITS_SAD_XX.wav,SAD,Male__Caucasian,True,train
68,1001_ITS_ANG_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_ITS_ANG_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_ITS_ANG_XX.wav,ANG,Male__Caucasian,True,train
69,1001_ITS_FEA_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_ITS_FEA_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_ITS_FEA_XX.wav,FEA,Male__Caucasian,True,train
70,1001_ITS_DIS_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_ITS_DIS_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_ITS_DIS_XX.wav,DIS,Male__Caucasian,True,train
71,1001_TSI_NEU_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TSI_NEU_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TSI_NEU_XX.wav,NEU,Male__Caucasian,True,train
72,1001_TSI_HAP_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TSI_HAP_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TSI_HAP_XX.wav,HAP,Male__Caucasian,True,train
73,1001_TSI_SAD_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TSI_SAD_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TSI_SAD_XX.wav,SAD,Male__Caucasian,True,train
74,1001_TSI_ANG_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TSI_ANG_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TSI_ANG_XX.wav,ANG,Male__Caucasian,True,train
75,1001_TSI_FEA_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TSI_FEA_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TSI_FEA_XX.wav,FEA,Male__Caucasian,True,train
76,1001_TSI_DIS_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_TSI_DIS_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_TSI_DIS_XX.wav,DIS,Male__Caucasian,True,train
77,1001_WSI_NEU_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_WSI_NEU_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_WSI_NEU_XX.wav,NEU,Male__Caucasian,True,train
78,1001_WSI_HAP_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_WSI_HAP_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_WSI_HAP_XX.wav,HAP,Male__Caucasian,True,train
79,1001_WSI_SAD_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_WSI_SAD_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_WSI_SAD_XX.wav,SAD,Male__Caucasian,True,train
80,1001_WSI_ANG_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_WSI_ANG_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_WSI_ANG_XX.wav,ANG,Male__Caucasian,True,train
81,1001_WSI_FEA_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_WSI_FEA_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_WSI_FEA_XX.wav,FEA,Male__Caucasian,True,train
82,1001_WSI_DIS_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_WSI_DIS_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_WSI_DIS_XX.wav,DIS,Male__Caucasian,True,train
